LA_code,Verybad_health,Bad_health,Good_health,Verygood_health
E09000017,2876,9244,136813,156976
E09000018,2903,9017,126637,149624
E09000019,3108,8901,85890,118690
E09000020,1614,4806,51493,85462
E09000021,1304,4367,71434,90958
E09000022,3086,9582,126451,178535
E09000023,3114,9891,127900,159645
E09000024,1704,5599,89739,118140
E09000025,4060,11823,154673,180480
E09000026,3029,9467,138560,159202
E09000027,1360,4574,73385,115959
E09000028,3134,9552,123331,171620
E09000029,1892,6322,93633,107792
E09000030,3896,11172,130879,164359
E09000031,2953,9277,122759,143437
E09000032,2397,7868,118665,198576
E09000033,2982,7404,78817,115033
E06000035,3113,11171,132646,132845
E06000036,846,3147,54788,65829
E06000037,1086,4319,73631,82413
E06000038,1364,5018,78646,89196
E06000039,1314,4625,70620,81941
E06000040,1002,3636,63264,85594
E06000041,1033,3676,75238,97553
E06000042,2668,9239,128517,146636
E06000043,3272,10757,123996,139078
E06000044,2311,8000,99187,98505
E06000045,2833,9536,117850,118703
E06000046,2079,7386,74980,56014
E06000060,3897,14525,240742,293915
E07000061,1440,4946,51347,43956
E07000062,1588,5025,45986,38395
E07000063,1187,4297,48888,45533
E07000064,1215,4365,48168,39362
E07000065,1461,5627,75844,77218
E07000084,1404,5419,85540,92794
E07000085,905,3599,57412,63828
E07000086,1078,4088,63296,67981
E07000087,921,3698,54709,55185
E07000088,898,3587,41963,35504
E07000089,628,2177,42048,54555
E07000090,1535,5437,62208,55028
E07000091,1885,6534,86291,81075
E07000092,780,2965,46583,49428
E07000093,1071,3958,59767,65696
E07000094,902,3466,55225,67850
E07000105,1335,4748,62330,64334
E07000106,1812,6224,75359,74034
E07000107,999,3390,51236,61128
E07000108,1597,5611,57747,51455
E07000109,1092,4088,49707,52013
E07000110,1657,5832,80799,87494
E07000111,1107,3660,52338,63410
E07000112,1603,5519,55233,47404
E07000113,1947,6688,74076,68967
E07000114,2354,7823,71410,59000
E07000115,1130,4164,59011,67896
E07000116,965,3415,50098,60833
E07000177,1296,4699,73264,81759
E07000178,1194,4221,67857,88767
E07000179,1011,3831,64602,79641
E07000180,913,3585,61689,72726
E07000181,879,3198,51600,58560
E07000207,938,3038,53038,81741
E07000208,536,1940,34537,43925
E07000209,1041,3531,60407,78671
E07000210,716,2501,38217,45952
E07000211,1140,3979,64572,81155
E07000212,674,2487,38790,46128
E07000213,897,3072,47074,51913
E07000214,670,2249,38864,48670
E07000215,750,2570,38640,45917
E07000216,870,3236,54050,70073
E07000217,768,2776,44999,55399
E07000223,791,2800,31681,29272
E07000224,1842,7110,84722,71215
E07000225,1163,4178,57888,60839
E07000226,1161,3975,55205,58152
E07000227,1115,4067,66045,75551
E07000228,1156,4180,66489,80741
E07000229,1308,4526,55100,50406
E06000022,1735,6121,85367,100186
E06000023,5419,18032,208954,240060
E06000024,2522,8897,102210,103098
E06000025,2698,9529,133802,144395
E06000026,3902,13109,126567,121117
E06000027,2313,7894,70275,58842
E06000030,2190,8185,110822,112213
E06000052,8308,26972,274170,260855
E06000053,17,66,917,1054
E06000054,4593,16995,235942,252803
E06000058,4735,16230,188989,190242
E06000059,4170,15166,189877,170366
E07000040,1525,5798,73531,69973
E07000041,1340,4665,58206,66498
E07000042,874,3085,39820,39073
E07000043,1265,4352,46859,46135
E07000044,1018,3413,40697,43499
E07000045,1559,5739,66079,61426
E07000046,880,3216,34166,29852
E07000047,671,2380,28038,26007
E07000078,1097,3695,53808,60237
E07000079,753,2698,41600,45781
E07000080,1089,3662,43263,38990
E07000081,1367,5172,63995,61882
E07000082,1012,4014,57183,58893
E07000083,766,2956,43926,47236
E06000066,6282,22945,279436,262885
