LA_code,No&one_dimension_deprivation,Two_dimension_deprivation,Three_dimension_deprivation,Four_dimension_deprivation
E09000026,84248,15319,3869,277
E09000027,71905,6992,1678,130
E09000028,105324,19018,6066,410
E09000029,69149,10463,2549,187
E09000030,94273,18685,7054,527
E09000031,81362,16559,4600,380
E09000032,118458,14425,4113,396
E09000033,76379,12728,5025,683
E06000035,90218,16523,4326,391
E06000036,43968,5132,1069,79
E06000037,58379,6829,1365,85
E06000038,56456,8682,2350,195
E06000039,41360,8603,2293,168
E06000040,54085,5724,1071,53
E06000041,62691,5513,900,60
E06000042,94743,14442,3653,264
E06000043,98182,17461,5195,563
E06000044,69460,12890,3524,281
E06000045,81476,15830,4573,412
E06000046,52045,10070,2465,195
E06000060,194243,21635,4208,242
E07000061,36105,7386,1882,236
E07000062,31180,7001,2076,193
E07000063,36238,5977,1367,106
E07000064,34726,6112,1192,72
E07000065,59216,7707,1287,55
E07000084,66706,8202,1650,86
E07000085,46678,5006,973,61
E07000086,49686,6032,1150,54
E07000087,42631,5161,800,47
E07000088,29336,5305,1208,73
E07000089,36151,3264,526,23
E07000090,43348,8020,2020,201
E07000091,66503,9265,1671,127
E07000092,32970,5038,1212,84
E07000093,47965,5573,1116,53
E07000094,45858,4907,894,56
E07000105,44869,7081,1528,105
E07000106,52464,9079,2092,157
E07000107,38528,5787,1282,99
E07000108,40500,8002,1918,127
E07000109,33571,6385,1626,142
E07000110,60469,8647,1937,156
E07000111,42356,5399,1193,65
E07000112,38615,7645,1919,159
E07000113,48110,9541,2675,168
E07000114,48078,10956,2910,256
E07000115,46034,6164,1314,63
E07000116,41633,5298,1188,104
E07000177,57109,7160,1530,95
E07000178,46613,6713,1767,146
E07000179,55083,5413,956,45
E07000180,51247,5252,950,49
E07000181,42442,4656,844,40
E07000207,50015,4642,876,54
E07000208,27613,3057,596,55
E07000209,49286,5312,1074,88
E07000210,32573,3688,794,86
E07000211,52602,5919,1230,98
E07000212,29909,4106,773,50
E07000213,35311,5260,1145,89
E07000214,32049,3293,626,40
E07000215,31210,3602,760,50
E07000216,46930,4609,864,45
E07000217,36143,4289,929,76
E07000223,22456,4194,936,92
E07000224,59881,10515,2074,193
E07000225,46949,5917,1184,68
E07000226,36746,6931,1708,119
E07000227,55174,6037,1071,88
E07000228,56134,6078,1068,69
E07000229,40880,6875,1599,183
E06000022,68365,8952,1819,114
E06000023,157036,26503,7515,584
E06000024,80438,11454,2565,190
E06000025,102339,13163,2454,145
E06000026,90998,18228,5049,282
E06000027,49143,10615,2984,252
E06000030,79648,12869,3167,178
E06000052,204403,36692,8750,690
E06000053,815,106,21,0
E06000054,185810,24198,4848,225
E06000058,143132,24231,5889,590
E06000059,143701,21130,4136,291
E07000040,57509,7809,1385,85
E07000041,43620,7025,1779,130
E07000042,30004,4648,937,47
E07000043,35829,6010,1268,90
E07000044,34023,4431,830,51
E07000045,50487,7761,1483,107
E07000046,25001,4491,907,60
E07000047,20969,3176,620,53
E07000078,45944,5613,1260,82
E07000079,36054,3852,666,25
E07000080,30859,5208,1101,49
E07000081,45811,7514,1928,154
E07000082,45803,5425,1093,57
E07000083,35813,4277,797,44
E06000066,211062,31969,6762,329
