LA_code,1km_to_less5km,5km_to_less20km,20k_to_less40k,40km_above,Work_off_office
E07000175,13200,12423,6384,1884,23223
E08000021,37919,27731,3026,3282,53120
E07000195,17226,14452,2426,1769,20809
E09000025,31675,46099,4345,2513,78815
E07000043,12987,10188,1909,1638,18443
E07000038,8284,15412,2947,1233,18687
E06000012,29095,13891,3217,1975,20671
E07000099,11757,10582,5168,2785,36869
E07000139,9696,14396,6259,2797,23744
E06000013,24205,18353,7024,2667,23974
E07000147,7305,9294,5218,1587,18255
E06000061,45789,44727,15337,5870,67132
E06000024,21966,22142,8738,1998,47858
E08000022,24821,26525,1622,1806,42490
E07000218,5405,9583,2963,674,13129
E07000134,9909,13785,4784,1508,21972
E06000065,67000,56145,28677,12519,129194
E06000057,25562,35577,13019,7111,59508
E07000148,24339,8280,3236,1705,28160
E06000018,44409,25298,4946,3478,50736
E07000219,17547,16837,5021,1328,22382
E07000135,6770,6594,1094,742,10789
E08000004,30813,25132,3486,1811,36966
E07000178,27136,7406,1843,1938,35005
E07000122,12669,9707,2583,893,13771
E06000031,33294,17758,7164,4053,38700
E06000026,44953,25384,2040,4457,44187
E06000044,33436,15841,4836,2591,41083
E07000123,23555,12570,3518,1587,25404
E06000038,25885,10349,4142,2703,45786
E09000026,22432,37635,5714,1969,73877
E06000003,12252,19143,2908,2065,19253
E07000236,15129,7425,3420,668,16052
E07000211,13490,13968,4858,1014,41797
E07000124,5391,8784,2509,933,12770
E09000027,13905,15518,1514,711,65917
E08000005,28217,25484,4025,1659,35071
E07000075,6250,8490,2117,2032,21769
E07000125,6625,10059,2814,582,13033
E07000064,6154,8458,2316,1450,19556
E08000018,27088,38736,4605,2871,44505
E07000220,15213,12957,4141,1744,24050
E07000212,8364,8756,2160,595,22581
E07000176,8213,13155,3344,1349,30915
E07000092,13747,11163,3098,1924,23078
E06000017,3536,3590,1867,815,8976
E08000006,37081,29489,3690,2330,55014
E08000028,44142,41112,4331,3470,48016
E08000014,30464,30270,8123,2407,53333
E07000111,6585,11071,5416,843,32470
E08000019,69146,58550,6843,5270,102198
E06000051,32402,28730,17671,8801,64819
E06000039,19912,15623,4504,1266,32395
E08000029,18995,25901,4506,1734,46803
E06000066,68197,57346,22120,9044,112336
E07000012,10105,20973,4036,2431,44722
E07000039,9558,16660,4144,1908,21635
E06000025,29567,38180,3819,2737,73307
E07000044,6646,9075,3108,1151,20604
E07000140,12297,11054,5258,1694,14931
E07000141,15459,12260,7672,3640,29161
E07000149,9758,18142,6077,2101,31670
E07000179,11326,15214,5351,2169,42416
E07000126,13691,13541,3352,1010,23117
E07000196,7158,16114,4133,1331,21963
E08000023,17375,18153,1309,1423,24245
E06000045,39862,20543,3770,3050,51002
E06000033,23966,10390,3620,4485,40798
E09000028,36757,28510,1785,1687,98209
E07000213,9979,12382,2350,531,26296
E07000240,11003,10670,4761,853,45584
E08000013,21842,23907,4575,1157,31142
E07000197,14867,14240,6457,2050,28150
E07000198,7579,15259,3069,1403,17723
E07000243,13018,6895,3379,1619,20549
E08000007,33137,34397,2808,2183,67281
E06000004,23483,25946,3182,2769,31063
E06000021,40777,30103,4667,3083,33950
E07000221,9077,14333,6277,2034,34515
E07000082,11028,13695,4205,1352,29636
E08000024,33860,34194,3447,1940,43710
E07000214,7992,8989,3011,1204,24168
E09000029,23102,23115,2317,950,54740
E07000113,15235,14881,5391,3366,30327
E06000030,35641,19986,5109,5109,52024
E08000008,29825,29576,2519,1712,42022
E07000199,11601,8407,3864,794,13492
E07000215,4859,9075,3078,606,24957
E07000045,12349,16198,4159,1755,27675
E06000020,25377,19099,6447,2887,31687
E07000076,13294,12060,4728,3060,25139
E07000093,12659,10789,5939,2437,34038
E07000083,8926,12453,2090,1460,21595
E07000114,18608,9014,3919,2509,25139
E07000102,7282,9237,3382,590,26457
E06000034,18465,19311,9608,1630,36937
E07000115,9629,13513,4932,2611,33743
E06000027,19329,12346,2639,1352,23272
E07000046,5981,7335,2243,1173,13322
E09000030,33740,24349,1608,1676,94021
E08000009,24351,25212,2985,1878,57130
E07000116,11271,8126,3195,2220,31087
E07000077,5416,8675,4199,2472,24980
E07000180,10817,15631,4925,1657,37834
E08000036,40972,50896,9359,2718,60696
E08000030,33473,36900,4476,2498,41184
E09000031,22773,35518,2911,1489,77682
E09000032,29958,33430,1773,1354,123928
E06000007,27275,21424,7721,1457,45314
E07000222,15939,12264,3689,1620,39237
E07000103,13554,8518,3908,650,26229
E07000216,8735,10168,2994,2168,36657
E07000065,10276,15984,6601,2347,39333
E07000241,12534,11426,4283,879,29027
E06000037,15696,14490,4871,2440,44810
E07000047,3823,5126,2658,1346,12432
E07000127,11754,15354,4138,1155,21146
E07000142,7044,10195,5528,1914,17455
E06000062,53661,44603,17200,7601,92929
E07000181,10213,13544,4599,1517,29053
E07000245,21922,17324,11892,3657,34824
E09000033,24084,9637,765,860,66396
E06000064,32758,20277,8379,3674,43570
E08000010,38733,43116,10650,2144,59972
E06000054,48268,50694,20248,11835,121298
E07000094,10147,10414,4265,2262,33486
E06000040,12317,13263,3766,1515,45441
E08000015,35980,38916,5558,2918,56131
E07000217,9518,9181,2826,781,30436
E06000041,13312,15086,4064,2051,54954
E08000031,36056,27636,7616,2817,37187
E07000237,18452,7203,4277,1277,20417
E07000229,16988,7477,2917,1214,24963
E07000238,11785,14647,6701,1981,28546
E07000128,11650,12015,2522,1320,20328
E07000239,12307,9569,4770,1026,18119
E06000014,31822,11314,4359,3278,45426
